Section Name,Section Number,Longitude,Latitude,GRCode,,,
Bialgoral Core,29,17.96,54.82,GR3319,,,
Bialgoral Core,29,17.96,54.82,GR3321,,,
Bialgoral Core,29,17.96,54.82,GR3323,,,
Bialgoral Core,29,17.96,54.82,GR3324,,,
Bialgoral Core,29,17.96,54.82,GR3326,,,
Bialgoral Core,29,17.96,54.82,GR3328,,,
Bialgoral Core,29,17.96,54.82,GR4806,,,
Bialogora-2,30,17.96,54.82,GR1134,,,
Bialogora-2,30,17.96,54.82,GR1138,,,
Bialogora-2,30,17.96,54.82,GR1142,,,
Bialogora-2,30,17.96,54.82,GR1194,,,
Bialogora-2,30,17.96,54.82,GR1262,,,
Bialogora-2,30,17.96,54.82,GR1266,,,
Bialogora-2,30,17.96,54.82,GR1272,,,
Bialogora-2,30,17.96,54.82,GR1274,,,
Bialogora-2,30,17.96,54.82,GR1301,,,
Bialogora-2,30,17.96,54.82,GR1303,,,
Bialogora-2,30,17.96,54.82,GR1840,,,
Bialogora-2,30,17.96,54.82,GR2730,,,
Bialogora-2,30,17.96,54.82,GR2761,,,
Bialogora-2,30,17.96,54.82,GR3202,,,
Bialogora-2,30,17.96,54.82,GR3317,,,
Bialogora-2,30,17.96,54.82,GR3344,,,
Bialogora-2,30,17.96,54.82,GR3345,,,
Bichler Quarry,120,-87.1,45.81,GR1138,,,
Bichler Quarry,120,-87.1,45.81,GR1144,,,
Bichler Quarry,120,-87.1,45.81,GR1146,,,
Bichler Quarry,120,-87.1,45.81,GR1775,,,
Bichler Quarry,120,-87.1,45.81,GR3507,,,
Billegrav-1,236,15,55.02,GR1278,,,
Billegrav-1,236,15,55.02,GR1279,,,
Billegrav-1,236,15,55.02,GR1282,,,
Billegrav-1,236,15,55.02,GR1349,,,
Billegrav-1,236,15,55.02,GR1361,,,
Billegrav-1,236,15,55.02,GR1367,,,
Billegrav-1,236,15,55.02,GR1411,,,
Billegrav-1,236,15,55.02,GR1441,,,
Billegrav-1,236,15,55.02,GR1443,,,
Billegrav-1,236,15,55.02,GR1667,,,
Billegrav-1,236,15,55.02,GR1669,,,
Billegrav-1,236,15,55.02,GR1670,,,
Billegrav-1,236,15,55.02,GR1756,,,
Billegrav-1,236,15,55.02,GR1757,,,
Billegrav-1,236,15,55.02,GR1762,,,
Billegrav-1,236,15,55.02,GR1803,,,
Billegrav-1,236,15,55.02,GR2743,,,
Billegrav-1,236,15,55.02,GR3033,,,
Billegrav-1,236,15,55.02,GR3037,,,
Billegrav-1,236,15,55.02,GR3271,,,
Billegrav-1,236,15,55.02,GR3394,,,
Billegrav-1,236,15,55.02,GR4958,,,
Binz 1,25,13.6,54.4,GR1031,,,
Binz 1,25,13.6,54.4,GR1108,,,
Binz 1,25,13.6,54.4,GR1114,,,
Binz 1,25,13.6,54.4,GR1119,,,
Binz 1,25,13.6,54.4,GR1120,,,
Binz 1,25,13.6,54.4,GR1121,,,
Binz 1,25,13.6,54.4,GR1176,,,
Binz 1,25,13.6,54.4,GR4767,,,
Binz 1,25,13.6,54.4,GR4787,,,
Binz 1,25,13.6,54.4,GR4853,,,
Birkhill Shales,331,-3.27,55.44,GR1277,,,
Birkhill Shales,331,-3.27,55.44,GR1279,,,
